sample_id,dataset,question,answer,ground_truth,label,category,difficulty,source,derived_from
medhallu_1001::hallucinated,medhallu,Does coaching of patients with an isolated minimally displaced fracture of the radial head immediately increase range of motion?,"Coaching patients to perform immediate, forceful physical therapy exercises increased their range of motion significantly, despite the initial discomfort.",Instruction that stretching exercises are healthy even when painful resulted in immediate improvements in motion. Prospective studies comparing different strategies for coaching patients regarding painful stretches might help clarify the optimal approach.,1,Misinterpretation of #Question#,hard,,provided_hallucinated_answer
medhallu_1001::factual,medhallu,Does coaching of patients with an isolated minimally displaced fracture of the radial head immediately increase range of motion?,Instruction that stretching exercises are healthy even when painful resulted in immediate improvements in motion. Prospective studies comparing different strategies for coaching patients regarding painful stretches might help clarify the optimal approach.,Instruction that stretching exercises are healthy even when painful resulted in immediate improvements in motion. Prospective studies comparing different strategies for coaching patients regarding painful stretches might help clarify the optimal approach.,0,Misinterpretation of #Question#,hard,,ground_truth_counterpart
medhallu_1002::hallucinated,medhallu,Do higher HPV16 and HPV18 Penile Viral Loads Are Associated With Decreased Human Papillomavirus Clearance in Uncircumcised Kenyan Men?,"Higher HPV16 and HPV18 viral loads are not associated with decreased clearance rates; rather, they are correlated with increased HPV persistence in uncircumcised Kenyan men.","High versus low HPV viral load was associated with a reduced HPV clearance for HPV16 infections in the glans and shaft, and for HPV18 infections in the glans, among young uncircumcised men. Reduced clearance of high viral load HPV16 and HPV18 infections in men may increase HPV transmission to their female partners as well as enhance the development of penile lesions in comparison to men with low viral load HPV infections.",1,Misinterpretation of #Question#,medium,,provided_hallucinated_answer
medhallu_1002::factual,medhallu,Do higher HPV16 and HPV18 Penile Viral Loads Are Associated With Decreased Human Papillomavirus Clearance in Uncircumcised Kenyan Men?,"High versus low HPV viral load was associated with a reduced HPV clearance for HPV16 infections in the glans and shaft, and for HPV18 infections in the glans, among young uncircumcised men. Reduced clearance of high viral load HPV16 and HPV18 infections in men may increase HPV transmission to their female partners as well as enhance the development of penile lesions in comparison to men with low viral load HPV infections.","High versus low HPV viral load was associated with a reduced HPV clearance for HPV16 infections in the glans and shaft, and for HPV18 infections in the glans, among young uncircumcised men. Reduced clearance of high viral load HPV16 and HPV18 infections in men may increase HPV transmission to their female partners as well as enhance the development of penile lesions in comparison to men with low viral load HPV infections.",0,Misinterpretation of #Question#,medium,,ground_truth_counterpart
medhallu_1003::hallucinated,medhallu,Is aRT an alternative for restoring occlusoproximal cavities in primary teeth - evidence from an updated systematic review and meta-analysis?,Atraumatic restorative treatment (ART) significantly increases the risk of secondary caries in occlusoproximal cavities of primary teeth compared to conventional treatment methods.,ART restorations have similar survival rate compared to conventional treatment and can be considered an option to restore occlusoproximal cavities in primary molars.,1,Misinterpretation of #Question#,easy,,provided_hallucinated_answer
medhallu_1003::factual,medhallu,Is aRT an alternative for restoring occlusoproximal cavities in primary teeth - evidence from an updated systematic review and meta-analysis?,ART restorations have similar survival rate compared to conventional treatment and can be considered an option to restore occlusoproximal cavities in primary molars.,ART restorations have similar survival rate compared to conventional treatment and can be considered an option to restore occlusoproximal cavities in primary molars.,0,Misinterpretation of #Question#,easy,,ground_truth_counterpart
medhallu_1004::hallucinated,medhallu,Does tERT promoter mutation predict radioiodine refractory in distant metastatic differentiated thyroid cancer?,"TERT promoter mutations predict a higher likelihood of radioiodine refractoriness in distant metastatic differentiated thyroid cancer due to their influence on tumor biology, including proliferation rates and genomic instability. These mutations are associated with a reduced uptake of radioiodine, contributing to therapeutic resistance.","TERT promoter mutation closely associates with non-RAI-avidity in DM-DTC, and when comparing with BRAF mutation, TERT mutation manifested a worse negative influence on RAI uptake. It could also be used as a predictive marker to early identify refractory to RAI.",1,Mechanism and Pathway Misattribution,hard,,provided_hallucinated_answer
medhallu_1004::factual,medhallu,Does tERT promoter mutation predict radioiodine refractory in distant metastatic differentiated thyroid cancer?,"TERT promoter mutation closely associates with non-RAI-avidity in DM-DTC, and when comparing with BRAF mutation, TERT mutation manifested a worse negative influence on RAI uptake. It could also be used as a predictive marker to early identify refractory to RAI.","TERT promoter mutation closely associates with non-RAI-avidity in DM-DTC, and when comparing with BRAF mutation, TERT mutation manifested a worse negative influence on RAI uptake. It could also be used as a predictive marker to early identify refractory to RAI.",0,Mechanism and Pathway Misattribution,hard,,ground_truth_counterpart
medhallu_1005::hallucinated,medhallu,Does serum Thyroglobulin Concentration be a Weak Marker of Iodine Status in a Pregnant Population with Iodine Deficiency?,"Serum Thyroglobulin Concentration is influenced by gestational stage and thyroid-stimulating hormone (TSH) levels, making it an unreliable marker of iodine status in pregnant women with iodine deficiency. The correlation between Tg and UIC is weak, especially in later stages of pregnancy, suggesting that Tg is not a robust indicator of iodine status.","Tg cannot be considered as a valid marker of iodine deficiency in pregnancy, at least in a mildly iodine-deficient environment. Further studies in a larger patient cohort with differences in iodine status, as well as studies on Tg changes after improving iodine status in pregnant women, are needed in order to corroborate these results.",1,Incomplete Information,hard,,provided_hallucinated_answer
medhallu_1005::factual,medhallu,Does serum Thyroglobulin Concentration be a Weak Marker of Iodine Status in a Pregnant Population with Iodine Deficiency?,"Tg cannot be considered as a valid marker of iodine deficiency in pregnancy, at least in a mildly iodine-deficient environment. Further studies in a larger patient cohort with differences in iodine status, as well as studies on Tg changes after improving iodine status in pregnant women, are needed in order to corroborate these results.","Tg cannot be considered as a valid marker of iodine deficiency in pregnancy, at least in a mildly iodine-deficient environment. Further studies in a larger patient cohort with differences in iodine status, as well as studies on Tg changes after improving iodine status in pregnant women, are needed in order to corroborate these results.",0,Incomplete Information,hard,,ground_truth_counterpart
medhallu_1006::hallucinated,medhallu,Is familiar Papillary Thyroid Carcinoma in a Large Brazilian Family Associated with Succinate Dehydrogenase Defects?,Familiar PTC and GIST in the Brazilian family are associated with mutations in the SDHB gene.,"Familiar PTC and a GIST were not associated with SDHx mutations; additional genetic defects, yet unknown, may be responsible for the development of tumor.",1,Misinterpretation of #Question#,medium,,provided_hallucinated_answer
medhallu_1006::factual,medhallu,Is familiar Papillary Thyroid Carcinoma in a Large Brazilian Family Associated with Succinate Dehydrogenase Defects?,"Familiar PTC and a GIST were not associated with SDHx mutations; additional genetic defects, yet unknown, may be responsible for the development of tumor.","Familiar PTC and a GIST were not associated with SDHx mutations; additional genetic defects, yet unknown, may be responsible for the development of tumor.",0,Misinterpretation of #Question#,medium,,ground_truth_counterpart
medhallu_1007::hallucinated,medhallu,Does valve interstitial cell tensional homeostasis direct calcification and extracellular matrix remodeling processes via RhoA signaling?,Interstitial cell mechanical activity directly triggers calcification through an integrin-mediated process rather than via RhoA signaling.,"Interstitial cell contractility mediates internal stress state and organization of the aortic valve extracellular matrix. Osteogenesis disrupts interstitial cell mechanical phenotype and drives disorganization, nodule formation, and pro-calcific signaling via a RhoA-dependent mechanism.",1,Mechanism and Pathway Misattribution,easy,,provided_hallucinated_answer
medhallu_1007::factual,medhallu,Does valve interstitial cell tensional homeostasis direct calcification and extracellular matrix remodeling processes via RhoA signaling?,"Interstitial cell contractility mediates internal stress state and organization of the aortic valve extracellular matrix. Osteogenesis disrupts interstitial cell mechanical phenotype and drives disorganization, nodule formation, and pro-calcific signaling via a RhoA-dependent mechanism.","Interstitial cell contractility mediates internal stress state and organization of the aortic valve extracellular matrix. Osteogenesis disrupts interstitial cell mechanical phenotype and drives disorganization, nodule formation, and pro-calcific signaling via a RhoA-dependent mechanism.",0,Mechanism and Pathway Misattribution,easy,,ground_truth_counterpart
medhallu_1008::hallucinated,medhallu,"Does 2-cyclohexylamino-5,8-dimethoxy-1,4-naphthoquinone inhibit LPS-induced BV2 microglial activation through MAPK/NF-kB signaling pathways?","2-cyclohexylamino-5,8-dimethoxy-1,4-naphthoquinone (R6) enhances LPS-induced BV2 microglial activation via MAPK/NF-kB signaling pathways.","Our findings demonstrate that our newly synthesized compound derived from DMNQ, 2-cyclohexylamino-5,8-dimethoxy-1,4-naphthoquinone (R6), might be a therapeutic agent for the treatment of glia-mediated neuroinflammatory diseases.",1,Misinterpretation of #Question#,hard,,provided_hallucinated_answer
medhallu_1008::factual,medhallu,"Does 2-cyclohexylamino-5,8-dimethoxy-1,4-naphthoquinone inhibit LPS-induced BV2 microglial activation through MAPK/NF-kB signaling pathways?","Our findings demonstrate that our newly synthesized compound derived from DMNQ, 2-cyclohexylamino-5,8-dimethoxy-1,4-naphthoquinone (R6), might be a therapeutic agent for the treatment of glia-mediated neuroinflammatory diseases.","Our findings demonstrate that our newly synthesized compound derived from DMNQ, 2-cyclohexylamino-5,8-dimethoxy-1,4-naphthoquinone (R6), might be a therapeutic agent for the treatment of glia-mediated neuroinflammatory diseases.",0,Misinterpretation of #Question#,hard,,ground_truth_counterpart
medhallu_1009::hallucinated,medhallu,Does cLOSING MACULAR hole WITH `` MACULAR PLUG '' WITHOUT GAS TAMPONADE AND POSTOPERATIVE POSTURING?,CLOSING MACULAR HOLE WITH “MACULAR PLUG” WITHOUT GAS TAMPONADE AND POSTOPERATIVE POSTURING IS NOT EFFECTIVE IN LARGE STAGE 3 AND STAGE 4 MACULAR HOLES.,"Twenty-three-gauge pars plana vitrectomy combined with broad ILM peeling, use of ILMR and autologous gluconated blood clumps as a macular plug is effective in achieving satisfactory hole closure with statically significant functional improvement for large Stage 3 and Stage 4 macular holes.",1,Misinterpretation of #Question#,hard,,provided_hallucinated_answer
medhallu_1009::factual,medhallu,Does cLOSING MACULAR hole WITH `` MACULAR PLUG '' WITHOUT GAS TAMPONADE AND POSTOPERATIVE POSTURING?,"Twenty-three-gauge pars plana vitrectomy combined with broad ILM peeling, use of ILMR and autologous gluconated blood clumps as a macular plug is effective in achieving satisfactory hole closure with statically significant functional improvement for large Stage 3 and Stage 4 macular holes.","Twenty-three-gauge pars plana vitrectomy combined with broad ILM peeling, use of ILMR and autologous gluconated blood clumps as a macular plug is effective in achieving satisfactory hole closure with statically significant functional improvement for large Stage 3 and Stage 4 macular holes.",0,Misinterpretation of #Question#,hard,,ground_truth_counterpart
medhallu_101::hallucinated,medhallu,Is abnormal left ventricular contractile response to exercise in the absence of obstructive coronary artery disease associated with resting left ventricular long-axis dysfunction?,An abnormal LVCRE in the absence of established causes is primarily linked to resting diastolic dysfunction rather than long-axis dysfunction.,An abnormal LVCRE in the absence of established causes is associated with resting LV long-axis dysfunction and is usually seen in women.,1,Misinterpretation of #Question#,medium,,provided_hallucinated_answer
medhallu_101::factual,medhallu,Is abnormal left ventricular contractile response to exercise in the absence of obstructive coronary artery disease associated with resting left ventricular long-axis dysfunction?,An abnormal LVCRE in the absence of established causes is associated with resting LV long-axis dysfunction and is usually seen in women.,An abnormal LVCRE in the absence of established causes is associated with resting LV long-axis dysfunction and is usually seen in women.,0,Misinterpretation of #Question#,medium,,ground_truth_counterpart
medhallu_1010::hallucinated,medhallu,Is palmitate-Induced MMP-9 Expression in the Human Monocytic Cells Mediated through the TLR4-MyD88 Dependent Mechanism?,Palmitate-induced MMP-9 expression in human monocytic cells is mediated primarily through the JNK-STAT3 signaling pathway rather than TLR4-MyD88.,"Altogether, these results show that palmitate induces TLR4-dependent activation of MMP-9 gene expression, which requires the recruitment of MyD88 leading to activation of NF-kB/AP-1 transcription factors. Thus, our findings suggest that the palmitate-induced MMP-9 secretion might be an underlying mechanism of its increased levels in obesity and related metabolic inflammation.",1,Mechanism and Pathway Misattribution,medium,,provided_hallucinated_answer
medhallu_1010::factual,medhallu,Is palmitate-Induced MMP-9 Expression in the Human Monocytic Cells Mediated through the TLR4-MyD88 Dependent Mechanism?,"Altogether, these results show that palmitate induces TLR4-dependent activation of MMP-9 gene expression, which requires the recruitment of MyD88 leading to activation of NF-kB/AP-1 transcription factors. Thus, our findings suggest that the palmitate-induced MMP-9 secretion might be an underlying mechanism of its increased levels in obesity and related metabolic inflammation.","Altogether, these results show that palmitate induces TLR4-dependent activation of MMP-9 gene expression, which requires the recruitment of MyD88 leading to activation of NF-kB/AP-1 transcription factors. Thus, our findings suggest that the palmitate-induced MMP-9 secretion might be an underlying mechanism of its increased levels in obesity and related metabolic inflammation.",0,Mechanism and Pathway Misattribution,medium,,ground_truth_counterpart
medhallu_1011::hallucinated,medhallu,Does trans-pQTL study identify immune crosstalk between Parkinson and Alzheimer loci?,The trans-pQTL study identified significant genetic overlap between Parkinson's and Alzheimer's disease through the modulation of microglial function rather than immune crosstalk.,"We find that the rs12456492 PD risk variant affects expression of AD-associated protein CD33 in peripheral monocytes, which suggests that genetic factors for these 2 diseases may converge to influence overlapping innate immune-mediated mechanisms that contribute to neurodegeneration. Furthermore, the effect of the rs12456492(G) PD risk allele on increased CD33 suggests that the inhibition of certain myeloid functions may contribute to PD susceptibility, as is the case for AD.",1,Mechanism and Pathway Misattribution,easy,,provided_hallucinated_answer
medhallu_1011::factual,medhallu,Does trans-pQTL study identify immune crosstalk between Parkinson and Alzheimer loci?,"We find that the rs12456492 PD risk variant affects expression of AD-associated protein CD33 in peripheral monocytes, which suggests that genetic factors for these 2 diseases may converge to influence overlapping innate immune-mediated mechanisms that contribute to neurodegeneration. Furthermore, the effect of the rs12456492(G) PD risk allele on increased CD33 suggests that the inhibition of certain myeloid functions may contribute to PD susceptibility, as is the case for AD.","We find that the rs12456492 PD risk variant affects expression of AD-associated protein CD33 in peripheral monocytes, which suggests that genetic factors for these 2 diseases may converge to influence overlapping innate immune-mediated mechanisms that contribute to neurodegeneration. Furthermore, the effect of the rs12456492(G) PD risk allele on increased CD33 suggests that the inhibition of certain myeloid functions may contribute to PD susceptibility, as is the case for AD.",0,Mechanism and Pathway Misattribution,easy,,ground_truth_counterpart
medhallu_1012::hallucinated,medhallu,Does cytosolic phospholipase A2 contribute to innate immune defense against Candida albicans lung infection?,cPLA2α exacerbates inflammation and promotes fungal dissemination during C. albicans lung infection.,The results demonstrate that cPLA2α contributes to immune surveillance and host defense in the lung to prevent infection by the commensal fungus C. albicans and to dampen inflammation.,1,Misinterpretation of #Question#,hard,,provided_hallucinated_answer
medhallu_1012::factual,medhallu,Does cytosolic phospholipase A2 contribute to innate immune defense against Candida albicans lung infection?,The results demonstrate that cPLA2α contributes to immune surveillance and host defense in the lung to prevent infection by the commensal fungus C. albicans and to dampen inflammation.,The results demonstrate that cPLA2α contributes to immune surveillance and host defense in the lung to prevent infection by the commensal fungus C. albicans and to dampen inflammation.,0,Misinterpretation of #Question#,hard,,ground_truth_counterpart
medhallu_1013::hallucinated,medhallu,Is the leishmanicidal activity of oleuropein selectively regulated through inflammation- and oxidative stress-related genes?,Oleuropein selectively regulates leishmanicidal activity through direct modulation of NF-κB signaling pathways and suppression of PPARγ receptors in infected cells.,The ability of Oleuropein to promote a Th1 type immune response in L. donovani-infected BALB/c mice points towards the candidacy of this bioactive compound as an immunomodulatory agent that may complement therapeutic approaches to leishmaniasis.,1,Mechanism and Pathway Misattribution,hard,,provided_hallucinated_answer
medhallu_1013::factual,medhallu,Is the leishmanicidal activity of oleuropein selectively regulated through inflammation- and oxidative stress-related genes?,The ability of Oleuropein to promote a Th1 type immune response in L. donovani-infected BALB/c mice points towards the candidacy of this bioactive compound as an immunomodulatory agent that may complement therapeutic approaches to leishmaniasis.,The ability of Oleuropein to promote a Th1 type immune response in L. donovani-infected BALB/c mice points towards the candidacy of this bioactive compound as an immunomodulatory agent that may complement therapeutic approaches to leishmaniasis.,0,Mechanism and Pathway Misattribution,hard,,ground_truth_counterpart
medhallu_1014::hallucinated,medhallu,Does addition of Dexamethasone alter the Bile Acid Composition by Inducing CYP8B1 in Primary Cultures of Human Hepatocytes?,"Addition of Dexamethasone significantly increases the expression of CYP7A1, leading to enhanced synthesis of chenodeoxycholic acid, while simultaneously decreasing the levels of CYP8B1, thus altering bile acid composition.","Primary human hepatocytes have an increased bile acid synthesis rate when cultured on matrigel as compared to collagen. Exposure to glucocorticoid hormones stimulates the expression of CYP8B1, leading to an increased formation of CA and alteration of the bile acid composition. The effect is most likely mediated through a GR-independent pathway, possibly through ROR α.",1,Misinterpretation of #Question#,hard,,provided_hallucinated_answer
medhallu_1014::factual,medhallu,Does addition of Dexamethasone alter the Bile Acid Composition by Inducing CYP8B1 in Primary Cultures of Human Hepatocytes?,"Primary human hepatocytes have an increased bile acid synthesis rate when cultured on matrigel as compared to collagen. Exposure to glucocorticoid hormones stimulates the expression of CYP8B1, leading to an increased formation of CA and alteration of the bile acid composition. The effect is most likely mediated through a GR-independent pathway, possibly through ROR α.","Primary human hepatocytes have an increased bile acid synthesis rate when cultured on matrigel as compared to collagen. Exposure to glucocorticoid hormones stimulates the expression of CYP8B1, leading to an increased formation of CA and alteration of the bile acid composition. The effect is most likely mediated through a GR-independent pathway, possibly through ROR α.",0,Misinterpretation of #Question#,hard,,ground_truth_counterpart
medhallu_1015::hallucinated,medhallu,Does benzoate fraction from Gentiana rigescens Franch alleviate scopolamine-induced impaired memory in mice model in vivo?,n-GS alleviates impaired memory in the SCO-induced mice model through the modulation of serotonin reuptake and enhancing nitric oxide production.,"n-GS could alleviate impaired memory of the SCO-induced mice model by inhibiting AChE activity and oxidative stress, and regulating the IGF-1R/ERK signaling pathway.",1,Misinterpretation of #Question#,easy,,provided_hallucinated_answer
medhallu_1015::factual,medhallu,Does benzoate fraction from Gentiana rigescens Franch alleviate scopolamine-induced impaired memory in mice model in vivo?,"n-GS could alleviate impaired memory of the SCO-induced mice model by inhibiting AChE activity and oxidative stress, and regulating the IGF-1R/ERK signaling pathway.","n-GS could alleviate impaired memory of the SCO-induced mice model by inhibiting AChE activity and oxidative stress, and regulating the IGF-1R/ERK signaling pathway.",0,Misinterpretation of #Question#,easy,,ground_truth_counterpart
medhallu_1016::hallucinated,medhallu,Does silencing Drp1 inhibit glioma cells proliferation and invasion by RHOA/ ROCK1 pathway?,Silencing DRP1 increases glioma cell proliferation and invasion by upregulating the RHOA/ROCK1 pathway.,"Our results demonstrated that silencing DRP1 regulated the cytoskeleton remodeling through inhibiting RHOA/ROCK1 pathway, and thus decreased the proliferation and invasion of glioma cells.",1,Misinterpretation of #Question#,medium,,provided_hallucinated_answer
medhallu_1016::factual,medhallu,Does silencing Drp1 inhibit glioma cells proliferation and invasion by RHOA/ ROCK1 pathway?,"Our results demonstrated that silencing DRP1 regulated the cytoskeleton remodeling through inhibiting RHOA/ROCK1 pathway, and thus decreased the proliferation and invasion of glioma cells.","Our results demonstrated that silencing DRP1 regulated the cytoskeleton remodeling through inhibiting RHOA/ROCK1 pathway, and thus decreased the proliferation and invasion of glioma cells.",0,Misinterpretation of #Question#,medium,,ground_truth_counterpart
medhallu_1017::hallucinated,medhallu,Does specific locations of linear furrow in patients with esophageal eosinophilia?,"Linear furrows in esophageal eosinophilia are predominantly located in the upper third of the esophagus, particularly within the esophageal mucosal fold ridges rather than valleys.","Investigation of these endoscopic characteristics, especially by focusing on linear furrows in esophageal mucosal fold valleys, may provide important clues for more accurate diagnosis of EoE.",1,Misinterpretation of #Question#,hard,,provided_hallucinated_answer
medhallu_1017::factual,medhallu,Does specific locations of linear furrow in patients with esophageal eosinophilia?,"Investigation of these endoscopic characteristics, especially by focusing on linear furrows in esophageal mucosal fold valleys, may provide important clues for more accurate diagnosis of EoE.","Investigation of these endoscopic characteristics, especially by focusing on linear furrows in esophageal mucosal fold valleys, may provide important clues for more accurate diagnosis of EoE.",0,Misinterpretation of #Question#,hard,,ground_truth_counterpart
medhallu_1018::hallucinated,medhallu,Does early remission status predict long-term outcomes in patients with Crohn 's disease treated with certolizumab pegol?,Early remission status predicts improved long-term quality of life rather than clinical remission in patients with Crohn's disease treated with certolizumab pegol.,"In certolizumab pegol-treated patients with CD, ER appears to be an important predictor of long-term clinical remission. Prospective trials are needed to determine whether ER improves other long-term outcomes.",1,Misinterpretation of #Question#,easy,,provided_hallucinated_answer
medhallu_1018::factual,medhallu,Does early remission status predict long-term outcomes in patients with Crohn 's disease treated with certolizumab pegol?,"In certolizumab pegol-treated patients with CD, ER appears to be an important predictor of long-term clinical remission. Prospective trials are needed to determine whether ER improves other long-term outcomes.","In certolizumab pegol-treated patients with CD, ER appears to be an important predictor of long-term clinical remission. Prospective trials are needed to determine whether ER improves other long-term outcomes.",0,Misinterpretation of #Question#,easy,,ground_truth_counterpart
medhallu_1019::hallucinated,medhallu,Do distinct resting-state perfusion patterns underlie psychomotor retardation in unipolar vs. bipolar depression?,"Distinct resting-state perfusion patterns in the thalamus and hippocampus underlie psychomotor retardation in unipolar versus bipolar depression, indicating region-specific neural impairments in each condition.","The differences in rCBF and in the localization of the clusters of positive AL/rCBF correlations between BP and UP suggest that different neural impairments may underlie motor symptoms in the two disorders, but finally converge in phenotypically similar manifestations.",1,Misinterpretation of #Question#,hard,,provided_hallucinated_answer
medhallu_1019::factual,medhallu,Do distinct resting-state perfusion patterns underlie psychomotor retardation in unipolar vs. bipolar depression?,"The differences in rCBF and in the localization of the clusters of positive AL/rCBF correlations between BP and UP suggest that different neural impairments may underlie motor symptoms in the two disorders, but finally converge in phenotypically similar manifestations.","The differences in rCBF and in the localization of the clusters of positive AL/rCBF correlations between BP and UP suggest that different neural impairments may underlie motor symptoms in the two disorders, but finally converge in phenotypically similar manifestations.",0,Misinterpretation of #Question#,hard,,ground_truth_counterpart
medhallu_102::hallucinated,medhallu,Is sleep efficiency ( but not sleep duration ) of healthy school-age children associated with grades in math and languages?,"Higher sleep efficiency is associated with better grades in math and languages among school-aged children, but not in science, suggesting a differential impact on specific academic domains.","Sleep efficiency, but not sleep duration, is associated with academic performance as measured by report-card grades in typically developing school-aged children. The integration of strategies to improve sleep efficiency might represent a successful approach for improving children's readiness and/or performance in math and languages.",1,Misinterpretation of #Question#,medium,,provided_hallucinated_answer
medhallu_102::factual,medhallu,Is sleep efficiency ( but not sleep duration ) of healthy school-age children associated with grades in math and languages?,"Sleep efficiency, but not sleep duration, is associated with academic performance as measured by report-card grades in typically developing school-aged children. The integration of strategies to improve sleep efficiency might represent a successful approach for improving children's readiness and/or performance in math and languages.","Sleep efficiency, but not sleep duration, is associated with academic performance as measured by report-card grades in typically developing school-aged children. The integration of strategies to improve sleep efficiency might represent a successful approach for improving children's readiness and/or performance in math and languages.",0,Misinterpretation of #Question#,medium,,ground_truth_counterpart
